,Make,Model,Buyer_Gender,Buyer_Age,Buzzword,Country,City,Dealer_Latitude,Dealer_Longitude,Color,New_Car,Purchase_Date,Sale_Price,Discount,Resell_Price,5-yr_Depreciation,Top_Speed,0-60_Time
646,Chevrolet,TrailBlazer,Female,75,exuding,Morocco,Fezna,31.533333,-4.466667,Yellow,False,2017-01-06,70948.2,0.5463,43385.33,0.2,213.0,10.3
647,Acura,SLX,Male,48,array,Ethiopia,Bahir Dar,11.5742086,37.3613533,Violet,False,2010-06-11,63303.95,0.3989,14237.05,0.17,229.0,2.5
648,Honda,Prelude,Female,58,non-volatile,Russia,Syamzha,60.0203894,41.0711197,Purple,True,2014-12-21,97675.89,0.4726,42628.3,0.03,226.7,12.9
649,Cadillac,DeVille,Male,69,Secured,Ukraine,Kalanchak,46.2559467,33.2989663,Orange,False,2013-04-30,40561.19,0.0913,36338.87,0.04,240.1,4.0
650,Nissan,Maxima,Female,29,directional,France,La Roche-sur-Yon,46.7152613,-1.4517985,Red,True,2015-05-26,50202.86,0.1119,16000.81,0.12,222.1,9.0
651,Dodge,Ram Van 1500,Female,71,Cloned,Russia,Kronshtadt,59.989522,29.7738152,Orange,True,2018-09-03,22901.56,0.5202,23973.67,0.16,206.3,3.8
652,Jeep,Compass,Female,53,24 hour,Russia,Khokhryaki,56.9154663,53.3224108,Purple,False,2007-01-27,39242.18,0.5784,29737.0,0.17,169.0,7.8
653,BMW,600,Female,44,multi-state,Peru,Las Yaras,-17.8665628,-70.5666522,Aquamarine,False,2014-11-19,85161.33,0.5333,18017.69,0.24,196.3,2.4
654,Cadillac,Escalade ESV,Female,74,bifurcated,Latvia,Rucava,56.1636909,21.1594809,Violet,False,2010-07-06,48342.64,0.5211,38324.41,0.17,129.1,11.3
655,Ford,Windstar,Female,51,Organized,Germany,Stuttgart,48.7893977,9.1962771,Khaki,True,2019-08-13,21402.6,0.5509,4288.61,0.11,168.2,4.0
656,Mercedes-Benz,M-Class,Female,31,Team-oriented,United States,Houston,29.9108312,-95.6563119,Indigo,False,2007-12-24,41379.72,0.4731,40021.67,0.21,206.2,12.2
657,Mercury,Grand Marquis,Female,35,migration,Czech Republic,Krásná Lípa,50.483611,13.357778,Violet,False,2011-10-14,56143.31,0.0461,9166.06,0.12,187.6,2.2
658,Pontiac,Grand Prix,Female,64,Persistent,Czech Republic,Karviná,49.8947754,18.5547609,Goldenrod,True,2011-08-31,99690.48,0.68,47747.25,0.23,175.4,3.2
659,Audi,S5,Male,33,non-volatile,Indonesia,Komi,-6.3145542,107.1032236,Puce,False,2017-10-11,47554.01,0.0014,43236.93,0.19,154.1,9.2
660,Mercedes-Benz,600SEL,Female,33,secondary,Tanzania,Kihangara,-9.922886,38.328209,Turquoise,True,2011-03-24,37553.1,0.651,25011.36,0.25,180.7,5.1
661,Mitsubishi,Eclipse,Female,68,local,Russia,Zainsk,55.3605576,52.0111855,Red,True,2012-09-26,71162.8,0.1856,21328.49,0.07,168.5,7.7
662,Mazda,Mazdaspeed 3,Male,57,incremental,Russia,Rasskazovo,52.6738562,41.7631303,Green,False,2014-04-11,48904.34,0.1354,48071.36,0.18,178.3,4.6
663,Infiniti,Q,Male,41,workforce,Colombia,Cerrito,6.839006,-72.696951,Mauv,True,2015-07-17,18802.18,0.484,17321.46,0.23,196.3,7.4
664,Mazda,Protege,Male,27,software,Pakistan,Kamālia,30.7361622,72.6661867,Orange,True,2018-11-22,73816.29,0.3467,39992.51,0.21,227.8,8.6
665,Lincoln,Town Car,Male,28,Fundamental,Sweden,Göteborg,57.6938555,11.9704401,Orange,False,2018-04-15,49479.28,0.6958,3828.04,0.19,215.4,4.3
666,Toyota,Cressida,Female,58,intranet,Japan,Takeo,37.9142806,139.0952085,Aquamarine,True,2008-09-07,95560.76,0.0151,28528.78,0.16,155.5,7.9
667,Mitsubishi,Montero,Male,57,attitude-oriented,New Zealand,Richmond,-41.3336941,173.1927874,Mauv,False,2011-12-27,92293.26,0.4922,32606.32,0.16,233.8,4.6
668,Chevrolet,Classic,Female,35,Reverse-engineered,Russia,Razumnoye,50.5374117,36.6913146,Aquamarine,False,2015-08-13,85868.45,0.4497,19883.95,0.15,184.1,11.2
669,Chevrolet,Volt,Male,39,radical,Russia,Novoanninskiy,50.52546,42.6645851,Khaki,True,2006-04-28,62692.13,0.6315,35634.07,0.07,223.3,8.0
670,Pontiac,Grand Am,Male,49,pricing structure,Portugal,Bairro,41.2828507,-8.2869478,Crimson,True,2014-11-21,18910.48,0.6862,15367.15,0.06,179.8,4.9
671,Dodge,Caravan,Female,34,User-friendly,Sweden,Ronneby,56.1929385,15.2667633,Pink,True,2016-05-22,89649.42,0.1585,5899.7,0.1,206.0,13.0
672,Ford,E-Series,Female,24,Virtual,Ivory Coast,Sinfra,6.6233371,-5.9145568,Red,False,2018-03-17,36684.24,0.3461,34166.1,0.07,153.5,11.8
673,Pontiac,Grand Am,Female,48,Streamlined,Indonesia,Garunggang,-2.7968956,115.1859517,Violet,True,2011-01-30,86915.21,0.2803,13892.75,0.17,140.1,11.2
674,Acura,TL,Male,25,Graphic Interface,Vietnam,Thanh Khê,16.0641802,108.1873407,Maroon,True,2011-10-29,30675.73,0.2853,36061.65,0.12,207.0,8.1
675,Jeep,Patriot,Female,46,encryption,Pakistan,Hangu,33.5810958,71.4303404,Red,True,2019-06-28,22974.77,0.3674,4607.86,0.2,201.2,3.6
676,Suzuki,Esteem,Female,29,Graphic Interface,Nepal,Bāglung,28.3683182,83.2934086,Puce,False,2017-02-16,23044.99,0.0032,3561.39,0.16,181.0,8.5
677,Volkswagen,GTI,Male,75,Enterprise-wide,China,Wenxing,27.335916,113.500997,Fuscia,True,2005-02-18,59674.98,0.6103,35600.93,0.23,147.9,8.8
678,Chevrolet,Lumina,Female,36,Networked,Sweden,Bromölla,56.0817105,14.4878816,Orange,True,2011-04-24,63719.01,0.1296,3261.45,0.21,171.3,6.1
679,Mazda,929,Male,41,mission-critical,Mongolia,Ulaanbaatar,47.8863988,106.9057439,Teal,False,2002-10-17,80786.45,0.6213,21681.83,0.16,190.7,7.3
680,BMW,Z8,Male,59,internet solution,Pitcairn,Adamstown,-25.0662897,-130.1004636,Green,False,2012-01-13,38034.85,0.6684,16013.43,0.21,162.6,7.4
681,Audi,Coupe GT,Female,72,homogeneous,Poland,Niedźwiedź,49.6076079,20.0926064,Crimson,False,2012-03-30,98031.73,0.3306,11747.94,0.05,120.5,4.2
682,Jaguar,XJ Series,Male,46,toolset,China,Pingzhuang,42.040521,119.2987161,Fuscia,False,2016-05-25,85291.23,0.5951,12246.9,0.1,244.5,10.6
683,Honda,CR-Z,Female,70,projection,China,Haiyang,36.776378,121.158434,Teal,False,2007-04-22,17586.22,0.248,49735.4,0.07,196.4,2.6
684,Dodge,Charger,Female,66,Down-sized,Portugal,Oeiras,38.6969299,-9.3053201,Maroon,False,2015-11-10,11527.96,0.463,23458.56,0.07,233.9,3.5
685,Nissan,Titan,Female,65,Right-sized,Uzbekistan,Yangi-Nishon Shahri,38.64501,65.68952,Mauv,True,2007-03-15,48437.48,0.0443,44188.34,0.1,168.4,4.9
686,Mazda,MX-5,Female,57,solution-oriented,China,Majiang,26.491105,107.589359,Indigo,False,2010-10-14,94382.85,0.4301,3569.14,0.16,197.9,9.4
687,Ford,E250,Male,46,Graphical User Interface,Poland,Przecław,53.3857827,14.4620917,Turquoise,False,2019-04-30,50573.97,0.1677,8976.97,0.15,171.1,10.8
688,Jeep,Wrangler,Male,31,Ameliorated,France,Gif-sur-Yvette,48.7212066,2.1222327,Maroon,False,2018-01-22,77008.98,0.1802,23745.15,0.19,235.7,2.1
689,GMC,Sierra 1500,Male,56,transitional,Poland,Trzciana,50.05998,21.8324138,Turquoise,False,2010-02-13,35119.04,0.1888,5127.36,0.08,190.0,11.1
690,Honda,Prelude,Male,65,Digitized,Brazil,Porto Real,-22.4183841,-44.3482701,Goldenrod,False,2017-03-04,12611.65,0.0473,41446.59,0.14,182.3,14.5
691,Audi,TT,Male,49,Balanced,France,Beaune,47.3410322,1.1586866,Teal,True,2008-11-26,43127.12,0.6767,26854.62,0.01,194.2,10.6
692,Mitsubishi,Eclipse,Female,60,standardization,Germany,Berlin,52.3824851,13.3993839,Khaki,False,2012-01-11,73080.22,0.4855,14194.58,0.13,154.7,2.3
693,Infiniti,M,Male,65,migration,China,Shuangxi,32.8676912,-80.017511,Indigo,True,2019-11-04,39626.11,0.0393,36082.81,0.25,211.6,9.9
694,GMC,Suburban 2500,Female,67,Organic,Russia,Rostokino,55.874056,37.690366,Aquamarine,True,2008-05-19,19205.53,0.002,42341.24,0.1,185.0,8.7
695,Ford,F350,Female,61,Virtual,China,Sanchahe,22.541373,114.137862,Turquoise,False,2009-11-27,59388.34,0.5072,2925.48,0.02,141.7,13.7
696,Aston Martin,V8 Vantage S,Male,63,access,Russia,Bira,49.0026196,132.4671327,Yellow,True,2017-10-15,32686.23,0.6507,13838.27,0.13,237.6,11.9
697,GMC,Yukon,Male,34,Object-based,Australia,Sydney,-33.7974423,151.2502275,Teal,False,2010-06-29,94235.42,0.4499,15543.69,0.22,186.1,4.1
698,Dodge,Charger,Male,22,Reduced,China,Jiaotang,31.0252201,121.4337784,Purple,True,2006-02-05,89055.16,0.491,38108.81,0.14,188.5,4.2
699,Mitsubishi,3000GT,Female,52,Assimilated,Indonesia,Kaduseeng,-6.3965,105.9693,Goldenrod,False,2020-10-30,83710.58,0.6452,28346.92,0.22,154.6,14.6
700,Ford,Econoline E250,Female,75,Multi-channelled,China,Sanchahe,22.541373,114.137862,Red,False,2002-10-04,40642.06,0.0437,12542.9,0.21,209.4,5.7
701,Infiniti,Q,Female,46,Digitized,France,La Talaudière,45.4556955,4.4135431,Goldenrod,True,2018-02-04,37501.55,0.0247,46107.79,0.12,181.2,7.5
702,Volkswagen,Jetta,Female,30,holistic,Thailand,Samphanthawong,13.7398825,100.5085202,Goldenrod,False,2016-09-26,52043.77,0.5789,28199.75,0.25,140.8,11.1
703,Chevrolet,Equinox,Female,39,24-Jul,Albania,Arrën,41.9164917,20.2862003,Violet,False,2009-02-27,24895.5,0.0035,44993.77,0.02,213.1,12.5
704,Mazda,Mazda6,Female,33,client-server,Portugal,Conqueiros,39.8385153,-8.8190392,Khaki,False,2003-04-16,19803.34,0.2022,39756.99,0.14,169.7,4.5
705,Ford,Explorer,Female,32,tangible,China,Guandu,25.015105,102.743811,Puce,False,2008-01-22,84552.07,0.5059,33878.62,0.19,163.3,14.9
706,Ford,Tempo,Female,68,Mandatory,Greece,Pérama,37.9656089,23.5677089,Khaki,True,2005-07-01,33098.74,0.4562,17001.03,0.21,222.3,6.8
707,GMC,Sierra 2500,Female,40,Robust,Indonesia,Duwaktenggi,-7.1108,113.5265,Maroon,False,2005-04-30,41873.13,0.0388,45385.25,0.04,238.2,2.0
708,Scion,tC,Female,26,Optional,Indonesia,Bungbulang,-7.4585953,107.6008169,Goldenrod,False,2002-08-02,92067.87,0.0706,8840.96,0.02,132.3,10.8
709,Subaru,Tribeca,Female,29,paradigm,Tanzania,Liuli,-11.08224,34.646118,Goldenrod,True,2019-10-03,31515.26,0.3606,20974.86,0.19,177.3,14.0
710,GMC,3500,Female,47,Seamless,Brazil,Neópolis,-10.3503897,-36.6741487,Maroon,False,2013-02-03,77401.76,0.6245,6665.0,0.22,203.2,3.1
711,Chevrolet,Astro,Male,46,stable,United States,New York City,40.7400016,-73.9800078,Purple,True,2009-05-17,35193.38,0.3382,42691.5,0.13,132.1,4.9
712,Nissan,Maxima,Male,38,Implemented,Tajikistan,Kŭlob,37.9273983,69.8001762,Teal,False,2017-02-14,78951.82,0.6731,34037.94,0.24,194.6,14.0
713,Mazda,B-Series,Female,57,ability,Nicaragua,San Juan de Limay,13.1777422,-86.6132317,Green,False,2007-09-11,30967.66,0.2047,36227.44,0.13,168.2,13.3
714,Ford,Bronco,Male,47,data-warehouse,Indonesia,Rawa,-7.1552009,108.3178328,Indigo,False,2013-10-22,72531.97,0.1316,20204.29,0.22,199.8,12.3
715,Volvo,V40,Female,35,budgetary management,Poland,Krzemieniewo,51.857861,16.8415115,Teal,False,2010-10-28,78417.32,0.6153,27240.62,0.23,146.7,2.9
716,Nissan,Armada,Female,54,User-centric,United States,Kissimmee,28.322781,-81.3912772,Indigo,True,2017-09-10,85020.85,0.2502,4459.14,0.1,158.0,10.1
717,Austin,Mini Cooper S,Female,31,groupware,Indonesia,Kedatuan,-5.1504958,105.1054308,Mauv,False,2014-12-09,95199.24,0.1814,24758.21,0.22,245.7,11.5
718,Hyundai,Excel,Male,73,multi-tasking,United States,Atlanta,33.9253024,-84.3857442,Teal,True,2009-11-30,97202.13,0.4937,36293.49,0.18,184.5,3.6
719,Oldsmobile,Bravada,Female,49,intangible,Mexico,Lazaro Cardenas,17.9567646,-102.1943485,Green,True,2012-10-17,62274.25,0.6306,23288.25,0.23,134.9,10.2
720,Aston Martin,DB9,Male,34,interface,United States,Phoenix,33.6289952,-112.1370601,Indigo,False,2019-02-25,40282.81,0.6796,26435.49,0.18,121.9,7.7
721,GMC,Sierra 1500,Female,46,neutral,France,Saint-Quentin-en-Yvelines,48.7855359,2.0425663,Red,False,2007-10-29,55450.48,0.515,9300.18,0.02,127.4,14.2
722,Acura,TSX,Female,68,Assimilated,Philippines,Tudela,8.235581,123.8545713,Orange,True,2009-10-04,54066.57,0.2222,48220.54,0.04,217.6,7.8
723,Dodge,Ram 3500,Male,41,uniform,Indonesia,Bojonggaling,-6.9897256,106.6468148,Purple,True,2013-05-21,74597.41,0.3076,30503.82,0.13,214.7,14.5
724,Hyundai,XG350,Male,37,Open-source,China,Yantianhe,30.967145,115.161532,Yellow,True,2017-03-06,12396.28,0.4563,30115.84,0.15,236.6,5.5
725,Volvo,XC70,Female,58,multi-tasking,Iraq,Sīnah,36.80752,43.03831,Red,True,2017-08-01,90409.82,0.3264,23327.91,0.1,244.9,3.8
726,Chevrolet,G-Series G10,Female,27,contingency,Dominican Republic,San Pedro de Macorís,18.4581133,-69.3044885,Fuscia,False,2016-06-02,83431.78,0.6674,41394.6,0.17,152.8,13.1
727,Mitsubishi,Tredia,Female,30,Horizontal,Indonesia,Sumuran,1.480524,99.0267076,Pink,True,2009-11-30,72486.39,0.5289,26946.73,0.12,230.5,14.8
728,Volvo,S90,Male,50,User-friendly,China,Xinchengzi,34.26645,108.960747,Orange,False,2005-05-31,69373.55,0.1245,23893.52,0.03,182.8,12.3
729,Volkswagen,CC,Male,33,dedicated,France,Arcachon,44.6603148,-1.1648341,Khaki,False,2018-11-25,32580.76,0.2283,46672.16,0.17,246.8,6.0
730,Suzuki,Samurai,Female,66,Inverse,Portugal,Manhete,41.5485587,-8.5825398,Pink,True,2010-10-27,62906.73,0.628,30347.74,0.04,246.8,10.6
731,Ford,Expedition,Female,36,Cloned,Argentina,General Alvear,-34.8411832,-58.4389753,Pink,False,2012-07-27,88122.46,0.6814,49844.71,0.1,124.5,5.1
732,Dodge,Aspen,Female,47,neural-net,China,Shuangxi,32.8676912,-80.017511,Indigo,True,2018-07-25,77646.82,0.1595,41191.82,0.24,125.7,7.0
733,Chevrolet,S10,Female,64,portal,Philippines,Tugdan,12.3290115,122.0752224,Red,False,2004-09-23,16274.57,0.3013,38561.54,0.25,132.4,3.3
734,Mercedes-Benz,S-Class,Female,22,directional,China,Xiakouyi,33.2064,106.425174,Mauv,False,2018-04-17,42753.05,0.5154,26993.93,0.17,139.4,7.6
735,Lexus,LS Hybrid,Female,44,Grass-roots,Tanzania,Sirari,-1.2549934,34.4705503,Goldenrod,True,2003-02-28,72726.29,0.1085,2220.11,0.1,232.9,12.5
736,Cadillac,SRX,Male,43,responsive,Sweden,Katrineholm,58.9955511,16.2054756,Pink,True,2003-09-18,91802.95,0.6597,46284.87,0.05,124.6,5.7
737,Toyota,Land Cruiser,Female,50,Switchable,Czech Republic,Bělá pod Bezdězem,50.5037851,14.7986888,Indigo,False,2013-10-18,28531.7,0.4534,24961.31,0.15,179.2,4.6
738,Pontiac,G5,Male,75,De-engineered,China,Xinchang,29.499831,120.903866,Maroon,False,2007-08-28,56040.49,0.169,2714.46,0.24,227.9,8.4
739,Land Rover,Freelander,Female,70,definition,China,Woniuhe,48.09967,122.667783,Puce,True,2011-08-18,88690.7,0.4649,47678.73,0.08,121.5,7.2
740,Cadillac,SRX,Female,27,Organic,Honduras,Intibucá,14.372734,-88.2461183,Orange,False,2015-09-23,70841.18,0.0732,20411.47,0.04,169.4,2.2
741,Toyota,Corolla,Male,53,projection,Kyrgyzstan,Pokrovka,42.7197486,71.6080009,Violet,True,2012-06-02,17510.53,0.5627,48527.63,0.11,229.2,14.1
742,BMW,5 Series,Male,70,bi-directional,Armenia,Spitak,40.8318278,44.2797884,Crimson,False,2010-01-06,47726.25,0.5941,12760.92,0.18,166.5,13.3
743,Saab,9000,Male,62,incremental,Costa Rica,Purral,9.9576111,-84.0284827,Crimson,True,2009-10-12,33597.33,0.1806,23027.79,0.04,188.8,3.4
744,Pontiac,Chevette,Female,61,Sharable,Syria,Al Qadmūs,35.1008082,36.1613289,Red,True,2019-11-20,12723.33,0.4119,45584.05,0.14,145.8,11.8
745,Hyundai,Tucson,Female,29,functionalities,Ukraine,Shakhtars’k,48.0486753,38.45053,Blue,True,2019-04-22,46745.13,0.2515,36854.44,0.13,236.8,5.1
746,BMW,X5,Female,63,holistic,Ukraine,Milove,49.3756258,40.1418221,Violet,True,2012-06-11,31361.74,0.1449,36866.28,0.05,134.8,7.9
747,Ford,F-Series,Female,37,website,Sweden,Oxelösund,58.6840661,17.0829438,Mauv,False,2004-12-03,74906.14,0.3247,17865.76,0.18,125.3,12.1
748,Volkswagen,Passat,Male,59,Fully-configurable,Sweden,Dalsjöfors,57.7189182,13.0953584,Mauv,False,2012-03-03,70663.86,0.4914,35410.16,0.09,235.7,8.3
749,Volkswagen,Passat,Male,71,encryption,Philippines,Lumatil,5.8734472,124.8979544,Blue,False,2010-04-06,28201.83,0.339,17666.42,0.25,220.2,12.3
750,Dodge,Stratus,Female,32,User-friendly,United States,Denton,33.1837961,-97.1305536,Puce,True,2018-06-26,58394.19,0.3735,6068.94,0.23,148.9,3.0
751,Kia,Sedona,Male,74,User-centric,China,Daming,36.285616,115.147814,Red,True,2003-08-08,76793.69,0.3489,12985.71,0.05,186.0,13.8
752,Lexus,GS,Male,45,neutral,Ecuador,Manta,-0.9676533,-80.7089101,Pink,False,2020-01-26,64700.66,0.0199,40308.78,0.03,186.7,8.0
753,Chevrolet,Express 3500,Male,75,benchmark,Macedonia,Радолишта,41.16417,20.62333,Violet,False,2008-01-28,49103.21,0.6266,34793.73,0.15,166.5,8.8
754,BMW,3 Series,Female,52,methodology,Russia,Nyandoma,61.6614104,40.2019954,Maroon,True,2005-03-23,73170.61,0.4326,28986.07,0.17,180.9,8.4
755,Ford,F250,Female,73,Integrated,China,Hepu,21.660935,109.207335,Puce,True,2003-05-05,88495.51,0.621,25562.92,0.07,157.9,11.1
756,GMC,Canyon,Male,32,Monitored,Philippines,Igang,10.5113238,122.5202355,Red,True,2003-06-16,81097.08,0.2956,48296.15,0.14,212.2,5.3
757,Plymouth,Grand Voyager,Female,40,intranet,France,Clermont-Ferrand,45.0386871,3.103119,Pink,True,2013-09-26,55064.74,0.1907,48192.13,0.25,171.1,11.4
758,Chevrolet,Suburban 2500,Female,38,Implemented,China,Nanxi,28.845626,104.969882,Goldenrod,False,2010-01-16,19894.5,0.5164,19489.56,0.24,245.5,9.3
759,Cadillac,Escalade,Male,34,clear-thinking,Dominican Republic,Dajabón,18.934217,-70.4066437,Puce,False,2007-09-01,24573.1,0.5787,34579.91,0.07,196.9,6.0
760,Volkswagen,GTI,Male,37,neural-net,Mexico,Independencia,19.3803931,-99.1476908,Indigo,True,2008-10-24,60200.73,0.2286,18250.9,0.04,127.6,7.9
761,Chevrolet,Suburban 1500,Female,43,internet solution,China,Shajing,22.720595,113.829667,Maroon,False,2019-05-29,51978.46,0.569,38130.88,0.04,185.7,9.9
762,Toyota,Corolla,Male,32,Multi-layered,Czech Republic,Dobšice,48.8489882,16.0910758,Red,False,2009-06-22,53415.81,0.2559,39142.75,0.19,183.0,2.5
763,Toyota,FJ Cruiser,Female,48,internet solution,China,Yulao,23.498459,111.746261,Yellow,True,2002-04-03,61940.34,0.6494,44109.36,0.21,141.6,4.0
764,Cadillac,Seville,Male,42,national,Uzbekistan,Qarshi,38.8611918,65.7847269,Maroon,True,2008-10-17,15962.58,0.2293,45638.1,0.21,191.3,2.1
765,Mercedes-Benz,300D,Female,70,time-frame,Mexico,La Soledad,19.7267712,-101.1850967,Teal,False,2007-03-16,32431.72,0.5643,35131.08,0.17,153.7,7.3
766,Lexus,RX,Male,42,frame,Jordan,Qīr Moāv,31.18248,35.69999,Khaki,True,2016-03-31,92225.9,0.6141,14628.18,0.05,225.5,11.3
767,Audi,A4,Female,30,Re-engineered,Democratic Republic of the Congo,Kolwezi,-10.7275273,25.5088914,Teal,False,2017-12-25,32326.09,0.6335,32181.77,0.1,223.0,7.5
768,Nissan,350Z Roadster,Female,22,attitude-oriented,China,Songqiao,27.4583303,120.3078508,Puce,False,2003-06-30,15772.94,0.2948,22673.58,0.22,171.9,12.1
769,Pontiac,Grand Am,Female,51,core,Costa Rica,Patarrá,9.8759581,-84.0375168,Red,True,2016-11-20,52397.71,0.4831,38390.04,0.18,172.7,13.2
770,Chevrolet,Malibu,Female,56,Exclusive,Indonesia,Jatiraya,-6.3193858,106.7861804,Teal,True,2020-08-05,88787.56,0.3419,31751.34,0.02,247.0,11.8
771,Lincoln,Continental Mark VII,Male,53,Universal,Indonesia,Ciranca,-7.023104,108.2763069,Aquamarine,True,2009-01-24,65452.22,0.6374,34779.06,0.07,173.1,4.1
772,Suzuki,SJ,Male,34,Future-proofed,Nigeria,Fika,11.2927933,11.3119092,Pink,False,2016-10-09,31311.5,0.0265,19447.64,0.25,217.1,11.4
773,Lexus,GS,Female,61,model,Colombia,Montenegro,4.566637,-75.75012,Khaki,True,2002-08-06,77187.75,0.6592,28595.86,0.24,211.5,7.2
774,Ford,Econoline E350,Male,69,directional,China,Xiadahe,41.000673,123.2861901,Mauv,False,2003-02-22,13209.62,0.2235,25973.07,0.22,179.8,11.5
775,Chevrolet,Astro,Male,46,Synchronised,China,Datan,29.693316,120.167774,Orange,False,2013-12-04,34159.26,0.2731,21221.54,0.1,132.7,8.9
776,Ford,Focus,Female,28,Networked,France,Troyes,48.294118,4.0675057,Yellow,True,2018-12-28,34660.15,0.4764,5047.71,0.14,186.8,11.5
777,Oldsmobile,LSS,Female,51,initiative,Philippines,Alangilanan,10.6713871,123.0555033,Goldenrod,True,2011-06-08,74732.7,0.6804,6080.12,0.16,200.7,10.9
778,Pontiac,Firebird Trans Am,Male,50,reciprocal,Indonesia,Baganhilir,2.157713,100.8162,Blue,True,2016-12-18,97124.2,0.4018,6178.73,0.19,211.5,9.6
779,Geo,Prizm,Male,66,Distributed,Philippines,Kawit,14.5694528,121.0168115,Purple,False,2017-11-17,50629.46,0.4539,20856.14,0.16,135.5,4.9
780,Volkswagen,CC,Female,40,directional,Colombia,Norcasia,5.576269,-74.889557,Turquoise,False,2007-06-09,52800.35,0.3802,4496.95,0.24,187.0,13.7
781,Chrysler,PT Cruiser,Female,20,architecture,Brazil,Jaguaquara,-13.5362103,-39.940155,Pink,True,2008-04-08,70475.11,0.2868,28472.69,0.25,188.9,7.3
782,Saturn,Astra,Female,61,uniform,Portugal,Casal dos Bernardos,39.7546452,-8.5234076,Green,False,2015-11-09,14784.13,0.0605,45629.67,0.21,229.1,6.3
783,Lamborghini,Diablo,Female,67,local,Portugal,Fornos de Algodres,40.6207889,-7.5388857,Blue,True,2006-01-18,69416.38,0.359,12555.87,0.06,146.4,8.1
784,Jaguar,XJ Series,Male,53,Reduced,United States,Waco,31.549333,-97.1466695,Mauv,False,2015-05-24,24351.03,0.4026,46563.78,0.23,234.6,6.2
785,Dodge,Spirit,Female,56,system-worthy,Indonesia,Ngembak,-7.0987285,110.8880753,Yellow,True,2005-02-21,62114.8,0.2207,33514.98,0.21,163.0,11.6
786,Mazda,Miata MX-5,Male,32,eco-centric,Philippines,Monkayo,7.8394835,126.0502748,Crimson,True,2007-01-05,19537.94,0.0592,33010.54,0.1,196.1,7.0
787,Mercedes-Benz,M-Class,Female,67,dedicated,Indonesia,Karanggedang,-7.6559369,109.5895384,Red,False,2014-07-04,90784.67,0.3336,26897.56,0.18,209.8,9.3
788,Acura,RL,Female,29,maximized,El Salvador,Santa Rosa de Lima,13.6216631,-87.8991514,Teal,False,2009-09-24,39936.47,0.6472,38012.85,0.13,207.9,10.1
789,Jaguar,XJ,Male,57,responsive,Tunisia,El Hamma,33.8779023,9.745565,Crimson,True,2005-01-24,16971.4,0.4566,47368.47,0.1,220.2,4.9
790,Lexus,LS,Female,45,Extended,Sweden,Boden,65.8255044,21.6501051,Maroon,False,2012-09-17,99320.47,0.4761,41444.94,0.09,223.9,13.8
791,BMW,7 Series,Male,62,definition,East Timor,Aileu,-8.7224084,125.5712576,Turquoise,True,2015-05-06,17023.32,0.0916,28771.25,0.12,228.6,3.1
792,Honda,Ridgeline,Female,35,Enterprise-wide,Poland,Sabnie,52.5005848,22.3071086,Indigo,True,2011-04-03,28237.16,0.4985,10754.89,0.03,229.5,10.7
793,Ford,Escape,Male,31,system engine,Brazil,Maragogi,-8.9444808,-35.2807624,Maroon,True,2010-12-12,28743.46,0.0858,38814.75,0.08,164.8,13.6
794,Cadillac,CTS,Male,50,Customizable,Sweden,Bandhagen,59.2643041,18.0399695,Khaki,False,2002-01-01,96015.68,0.658,12274.31,0.22,158.6,6.6
795,GMC,Sierra 3500,Female,22,system engine,Indonesia,Cinagrog Girang,-6.9547303,107.3787448,Goldenrod,True,2014-10-09,51901.45,0.1774,27283.63,0.15,174.2,7.6
796,Mazda,CX-7,Male,47,Triple-buffered,Dominican Republic,Sabana Grande de Palenque,18.2604623,-70.1473203,Green,True,2019-07-30,28604.59,0.0274,22178.7,0.08,202.5,10.3
797,Dodge,Ram 3500,Female,25,functionalities,China,Longtian,28.018107,111.945153,Yellow,True,2003-07-22,33890.39,0.0252,15865.98,0.09,188.2,13.9
798,Hyundai,Accent,Male,71,Assimilated,Thailand,Samut Sakhon,13.5497754,100.2740821,Goldenrod,False,2014-05-14,69425.39,0.3852,29374.06,0.14,133.1,10.4
799,Toyota,Tundra,Female,44,website,China,Hezhi,39.105787,111.862117,Orange,True,2006-09-26,80585.39,0.0034,45076.72,0.22,204.5,2.0
800,Dodge,Nitro,Male,30,tangible,China,Houzhen,30.742803,120.48806,Teal,True,2010-12-02,40866.96,0.0046,31885.08,0.21,234.6,12.4
801,Nissan,Altima,Male,59,exuding,Brazil,Bertioga,-23.8182859,-46.0851681,Khaki,True,2007-03-09,30304.38,0.5994,32408.99,0.2,239.1,11.5
802,Porsche,Cayenne,Female,45,capacity,Myanmar,Syriam,16.7587537,96.2482149,Aquamarine,True,2017-07-15,66185.36,0.5615,47627.93,0.04,156.5,3.0
803,Porsche,Boxster,Male,43,system-worthy,Bhutan,Gasa,28.0185886,89.9253233,Turquoise,False,2011-12-28,97346.22,0.1684,29096.58,0.22,242.0,14.1
804,Volvo,V70,Male,60,Triple-buffered,Burkina Faso,Ouahigouya,13.5668258,-2.4109908,Khaki,True,2005-07-09,78816.81,0.5464,34394.58,0.05,205.0,9.9
805,Aston Martin,Vantage,Male,64,knowledge base,Russia,Starobachaty,54.2407853,86.2093804,Aquamarine,True,2012-06-10,96208.13,0.233,37660.46,0.02,209.2,7.0
